index,Sample,index_laser,index_sample,Spot Size (µm),Time (s),29Si,29Si 2sigma,31P,31P 2sigma,49Ti,49Ti 2sigma,89Y,89Y 2sigma,90Zr,90Zr 2sigma,91Zr,91Zr 2sigma,140Ce,140Ce 2sigma,146Nd,146Nd 2sigma,147Sm,147Sm 2sigma,151Eu,151Eu 2sigma,157Gd,157Gd 2sigma,159Tb,159Tb 2sigma,163Dy,163Dy 2sigma,165Ho,165Ho 2sigma,167Er,167Er 2sigma,169Tm,169Tm 2sigma,172Yb,172Yb 2sigma,175Lu,175Lu 2sigma,202Hg,202Hg 2sigma,204Pb,204Pb 2sigma,206Pb,206Pb 2sigma,207Pb,207Pb 2sigma,208Pb,208Pb 2sigma,232Th,232Th 2sigma,238U,238U 2sigma,206Pb/238U,206Pb/238U 2sigma,207Pb/206Pb,207Pb/206Pb 2sigma,207Pb/235U(calc),207Pb/235U(calc) 2sigma,208Pb/206Pb,208Pb/206Pb 2sigma,238U/206Pb,238U/206Pb 2sigma,Rho: 207/206 vs 238/206,206Pb/238U Age (Ma),206Pb/238U Age (Ma) 2sigma,207Pb/206Pb Age (Ma),207Pb/206Pb Age (Ma) 2sigma,207Pb/235U(calc) Age (Ma),207Pb/235U(calc) Age (Ma) 2sigma,238U/206Pb Age (Ma),238U/206Pb Age (Ma) 2sigma,Discordance (%),empty,238U/206Pb,238U/206Pb 2sigma,207Pb/206Pb,207Pb/206Pb 2sigma,Rho: 207/206 vs 238/206,C,O,207Pb/235U(calc) Age (Ma),206Pb/238U Age (Ma),Time (s)
53,91500_30 µm - 7,100,89,30,25,126833.7417,7603.586931,<13.326,6.727677419,4.065795104,0.450531521,112.6986349,11.19156049,438114.31,43403.05141,431400,41183.65321,2.161256563,0.098834627,0.201832058,0.047635847,0.314510956,0.059820652,0.171284015,0.030882352,1.825578229,0.147484125,0.619252449,0.0643189,8.791543236,0.443617067,3.617384987,0.335428799,20.76807069,0.984715816,4.828035197,0.456212675,51.36282261,2.099464535,10.2980192,0.474996159,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.441,1.033676721,40.6867967,3.919022113,3.687433365,0.362983607,2.168680183,0.21096959,20.68501376,2.116672296,63.24666705,6.630252221,0.179436806,0.002169452,0.072717334,0.002353377,1.802841569,0.05787184,0.129989425,0.014776557,5.566137385,0.059470239,0.164552891,1063.893837,12.86283623,1005.18041,32.53101367,1046.48819,33.59263414,1065.101602,11.37985695,-1.663243496,,5.566137385,0.059470239,0.072717334,0.002353377,0.164552891,,,1046.48819,1063.893837,25
54,91500_30 µm - 8,101,90,30,25,126525.6547,7648.543321,<12.532,9.012590542,4.053399632,0.450901638,114.4190273,11.36915629,437161.1044,43292.19048,431400,41183.65321,2.128292641,0.099317537,0.175612509,0.046066174,0.317355857,0.056809435,0.195448637,0.031168108,1.992002227,0.178667499,0.672167915,0.068736931,9.062484142,0.481740637,3.714230791,0.346174584,20.8516934,0.985825222,4.94171712,0.463248205,51.52903133,2.10702301,10.46563191,0.478334076,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.497,0.915770773,41.46676218,3.980485497,3.885435896,0.390536198,2.219465188,0.217967946,21.33358478,2.185513227,64.47820405,6.755421198,0.179084876,0.002084485,0.075228558,0.002668699,1.86517285,0.065086377,0.130592119,0.014861261,5.573811559,0.059425831,0.191659385,1061.97002,12.36095743,1073.718495,38.0896766,1068.821474,37.29719599,1063.749742,11.34128988,0.641028821,,5.573811559,0.059425831,0.075228558,0.002668699,0.191659385,,,1068.821474,1061.97002,25
55,91500_16 µm - 7,102,91,16,25,127544.4818,8876.546888,<55.469,24.46143489,4.712285734,1.031830008,161.8740715,16.78669637,439105.8194,44511.19627,431400,41183.65321,2.294325519,0.168564795,0.212741877,0.084393562,0.528558079,0.150362314,0.254806462,0.060999345,2.97428756,0.434882818,0.995082046,0.120501423,12.82806601,0.991445247,5.332730267,0.554514435,30.91796347,2.066512078,6.903715442,0.73717541,71.75326954,3.966543096,14.9413203,0.879421693,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<7.010,4.185606791,44.72133171,4.494228275,4.056632545,0.437727472,2.651308493,0.284303362,25.02564504,2.702806623,67.86696899,7.426623139,0.176221047,0.00339289,0.072899397,0.003494374,1.777352851,0.10002913,0.144881458,0.017362596,5.68671125,0.099848724,0.111527457,1046.293605,20.14492054,1010.252723,48.42565413,1037.212171,58.37413282,1044.251843,18.3352398,-0.875561844,,5.68671125,0.099848724,0.072899397,0.003494374,0.111527457,,,1037.212171,1046.293605,25
56,91500_16 µm - 8,103,92,16,25,127043.3529,8863.572553,<46.160,14.06380518,4.008218025,1.194931435,173.7046238,18.03187447,437982.2601,44299.52955,431400,41184.52,1.719132139,0.141930355,0.199057142,0.114112416,0.713760754,0.175607019,0.333318292,0.074072946,3.140850004,0.394446777,1.111050843,0.139953141,14.18358827,1.004633788,5.444224216,0.563429513,31.73176697,1.929673695,7.042696002,0.718284666,74.97986516,4.127881143,15.47433599,0.924217401,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.975,4.43490545,37.24678809,3.787510789,3.455006102,0.380910792,2.119069836,0.23054153,20.96831063,2.211460192,56.58531995,6.136960306,0.175321434,0.003620089,0.074528334,0.003929245,1.796663519,0.109321037,0.138907014,0.016612257,5.720517072,0.105353794,-0.019512814,1041.361299,21.50233587,1054.910813,55.61646846,1044.247603,63.5390156,1038.552137,19.12683883,0.276400333,,5.720517072,0.105353794,0.074528334,0.003929245,-0.019512814,,,1044.247603,1041.361299,25
57,Z_GJ1,104,93,30,25,136294.3889,9782.037013,<14.800,10.27779429,2.837675676,0.407106618,199.1825381,13.32858779,439226.9417,26467.68994,431400,24689.38289,12.83532835,0.768287258,0.400568235,0.066914844,0.957395386,0.116574697,0.744483676,0.071090812,5.22818028,0.440322671,1.428193615,0.105899088,15.31569261,1.128028384,5.274802452,0.414618441,24.47579799,2.027132024,5.078466787,0.381749665,48.96145907,3.242067915,10.52859516,0.700243914,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.275,0.997882807,96.64343235,6.362998806,6.316949963,0.436085369,0.38900257,0.032664267,7.438888952,0.361089357,256.8617237,13.92133221,0.09714577,0.000870585,0.059458449,0.001290621,0.798470743,0.017508795,0.010736675,0.001188313,10.28073115,0.080735332,0.291988199,597.6584452,5.355999235,582.9544759,12.65376887,595.9656796,13.06828228,598.384491,4.69915707,-0.284037419,,10.28073115,0.080735332,0.059458449,0.001290621,0.291988199,,,595.9656796,597.6584452,25
58,Z_GJ1,105,94,30,25,137879.2094,9855.752047,32.21986453,12.7453573,3.335412063,0.468776691,197.9385014,13.23057017,442798.9442,26712.47778,431400,24690.82873,12.8504423,0.767388677,0.429139599,0.072001065,0.959704117,0.117065429,0.726486744,0.072039575,5.167381995,0.45044878,1.421910868,0.108142199,15.32320939,1.135520905,5.333028629,0.415622381,24.75637065,2.06077113,5.194273597,0.392325415,49.15668974,3.264391179,10.39802499,0.695866991,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.369,0.975147767,97.66261889,6.43203725,6.394092021,0.439438573,0.38733692,0.03286749,7.564891192,0.36937033,258.2483655,14.00833379,0.097721815,0.000875748,0.059551402,0.001292639,0.803962445,0.017629217,0.010569208,0.001169778,10.22147853,0.080270017,0.119076064,601.0421712,5.386322966,586.3452859,12.72737072,599.0614684,13.13616646,601.6962746,4.725164748,-0.330634325,,10.22147853,0.080270017,0.059551402,0.001292639,0.119076064,,,599.0614684,601.0421712,25
59,Z_GJ1,106,95,16,25,153382.6057,11205.58851,<62.390,29.16538171,2.187568143,0.970528742,196.0196606,13.31260154,442239.1034,27316.1609,431400,24689.38289,13.3724623,0.878237018,0.441678887,0.153216374,0.920311464,0.208145175,0.692073193,0.117436489,5.401234454,0.592548091,1.398311871,0.134039643,15.93456958,1.407356986,5.203601531,0.452650757,23.22038375,2.196778691,4.982476799,0.422915782,46.43380139,3.370702663,10.12687258,0.757158517,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.595,3.453724995,105.1009561,7.155132373,6.993041197,0.545253644,0.423510367,0.051882516,7.683529733,0.41221035,255.5028514,13.97170749,0.097753589,0.001437939,0.060517865,0.001313617,0.816797683,0.030643746,0.010738154,0.001188477,10.23986597,0.127410209,0.078718674,601.2287632,8.843977116,621.1785382,13.48347079,606.2603655,22.74503129,600.6646333,7.47380942,0.829940828,,10.23986597,0.127410209,0.060517865,0.001313617,0.078718674,,,606.2603655,601.2287632,25
60,Z_GJ1,107,96,16,25,154371.7648,11584.72268,<67.662,60.12180906,3.045157869,0.99268665,193.1941728,13.23593633,437563.6181,26715.63798,431400,24689.38289,13.30804157,0.833902889,0.460095728,0.130858727,1.132231558,0.227650038,0.693958922,0.105996555,5.522344089,0.640910054,1.36976244,0.131336866,15.10829934,1.354595608,5.138427396,0.451763433,24.43531038,2.223021463,4.836918721,0.413800248,45.64187292,3.328005684,10.38798104,0.754530076,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.600,3.273761204,103.9389102,7.106115683,6.912155342,0.545818329,0.474636933,0.063182722,7.472388648,0.387203188,252.2594904,13.86215914,0.097817836,0.001438884,0.060484911,0.001312902,0.817457375,0.030668496,0.012168996,0.00134684,10.23978204,0.127409165,0.140228883,601.606033,8.849526693,620.0033382,13.45796158,606.628991,22.75886099,600.6693341,7.47386791,0.82801153,,10.23978204,0.127409165,0.060484911,0.001312902,0.140228883,,,606.628991,601.606033,25
61,G_GSD_1G,108,97,30,25,254901.4538,31542.72147,955.2360982,296.1816365,7228.799386,888.9877662,40.55180337,4.951620973,40.95222582,4.879516434,42,5.123668984,40.03911615,4.704417091,43.34855957,5.140871099,46.93315316,5.798083707,40.14284186,4.983065535,48.80403137,6.12357776,46.41091705,5.646478015,49.8159069,6.18490071,48.07688848,6.066164463,39.41864367,5.160951743,48.48616063,6.038489396,49.22565977,5.983875649,50.34199781,6.0762769,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,49.21835127,6.347402372,53.12078576,6.418515535,47.01015624,5.699754203,48.73003277,5.864180861,44.80760616,5.028442134,40.45667295,4.661951947,0.338426079,0.005533224,0.805342772,0.019783266,37.66429078,0.998205959,2.447272739,0.272960675,2.961924726,0.046152468,0.197314334,1879.087541,30.72284358,4930.581671,121.1198654,3711.140754,98.35530521,1875.195793,29.21914724,49.36630904,,2.961924726,0.046152468,0.805342772,0.019783266,0.197314334,,,3711.140754,1879.087541,25
62,G_GSD_1G,109,98,16,25,282145.1074,53585.62938,1056.285732,355.2701984,7342.417837,1693.200594,40.10694918,12.63061061,41.26557901,25.86855629,42,6.393550577,40.92144132,21.11928363,42.27731,15.60883978,46.28462835,12.57188799,38.75283928,7.259730763,48.47042607,8.888169165,45.57077514,7.106864517,47.99688417,7.200224009,48.40885679,7.522592916,37.42514692,5.940531782,47.39861721,7.249509573,48.30287853,6.977965618,49.80235715,7.075500144,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,42.78188103,9.743940868,57.82281492,7.941248312,51.05985568,7.03935862,53.48221089,7.315243939,42.58833787,5.570459276,42.62073043,6.398350742,0.32090908,0.008297103,0.803033037,0.026580723,35.62320492,1.523413907,2.464435621,0.278341757,3.138761303,0.073086431,0.396656377,1794.161714,46.38804272,4926.492284,163.0689187,3656.072054,156.3506434,1782.868353,41.5143018,50.92652204,,3.138761303,0.073086431,0.803033037,0.026580723,0.396656377,,,3656.072054,1794.161714,25
63,G_NIST610_Jochum,110,99,30,25,320756.5171,25913.4461,402.8455058,118.7992073,446.0409057,35.47647542,469.4617095,36.28974963,453.117026,32.53539664,448,31.17691454,458.2137332,32.21751403,438.3141247,30.95602904,461.6647537,36.11119468,454.7018823,36.75601243,456.2103158,37.27319165,450.2318229,34.88557193,445.3864658,35.3442907,461.6792196,38.8388338,465.8924405,41.40506523,447.9386129,36.58395291,461.3276049,34.54880967,453.7571235,34.34217788,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,425.5482621,30.14580189,426.5030159,32.46982164,424.336119,32.54776101,424.7507027,32.05318529,470.125579,29.02492846,464.361435,31.16901936,0.236623471,0.003368204,0.906352671,0.020454899,29.65603368,0.735291896,2.658873887,0.29580078,4.228570895,0.058093131,0.126076125,1369.11524,19.48859617,5098.18443,115.0576951,3475.48356,86.17116252,1368.401269,18.79942815,60.60648205,,4.228570895,0.058093131,0.906352671,0.020454899,0.126076125,,,3475.48356,1369.11524,25
64,G_NIST610_Jochum,111,100,16,25,332397.46,26853.90071,419.8450783,123.8123841,445.9994351,35.473177,457.7725386,35.38616777,447.0192484,32.09755476,448,31.17691454,447.533604,31.46658234,426.2362592,30.1030272,442.724691,34.6297121,440.9076863,35.64095296,441.1544097,36.04309743,425.4045798,32.96186833,426.7296957,33.86375558,436.1105996,36.68786981,445.221553,39.56799004,426.2818697,34.81520771,447.0043226,33.47613952,432.20557,32.71106898,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,421.218091,29.83905295,432.2934829,32.91065189,428.717863,32.88385296,430.7807308,32.50823247,451.4388474,27.87123449,465.7009106,31.25892808,0.218517768,0.00511179,0.901710756,0.021653584,27.16583665,1.092242553,2.654497683,0.295869293,4.59650614,0.1004707,0.225549116,1274.034259,29.80350666,5090.926429,122.2529553,3389.460577,136.2782645,1268.947047,27.73671877,62.41188738,,4.59650614,0.1004707,0.901710756,0.021653584,0.225549116,,,3389.460577,1274.034259,25
65,Z_Plesovice,128,116,30,25,139973.1358,9963.490077,559.1287492,164.128175,66.51888216,4.944717607,778.7336065,51.9510409,441794.9659,26590.54397,431400,24676.41845,5.036905374,0.309452824,7.152499749,0.484670301,7.508078074,0.585245891,1.938640966,0.159588603,23.37668168,1.732417255,7.667741802,0.519520013,82.90716506,5.831566112,22.65601295,1.701422481,83.65833631,6.726543413,13.67196691,0.995512342,92.90056742,6.050546854,13.0493166,0.874661871,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.435,0.913362002,217.7004251,14.32344442,12.84032117,0.866984752,4.415299404,0.296948096,142.917907,6.781804695,1102.3602,59.81590692,0.051071693,0.000529515,0.05363206,0.001372549,0.378475732,0.009690602,0.054079193,0.006072092,19.56919821,0.184402117,0.236828267,321.0968551,3.329154133,354.6232134,9.075496931,325.9160199,8.344847719,321.2748429,3.0273985,1.478652309,,19.56919821,0.184402117,0.05363206,0.001372549,0.236828267,,,325.9160199,321.0968551,25
66,Z_Plesovice,129,117,30,25,138401.6182,9882.161166,497.978896,146.3212439,66.7966312,5.041588856,693.7930169,46.28498847,440861.3979,26546.5584,431400,24676.41845,3.226414594,0.202306605,4.695215514,0.362308357,6.547661778,0.509549428,1.665685133,0.137024497,22.36643545,1.659786068,7.267783879,0.493794317,74.95250039,5.240332904,20.21200809,1.522586268,73.58620783,5.953226216,11.6902916,0.851681108,79.282178,5.188087206,10.90909629,0.736393036,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.548,0.996370125,204.6658308,13.47483011,11.86125991,0.806552366,4.197457763,0.281548308,140.931663,6.688355794,1026.850629,55.64446638,0.051524266,0.000534207,0.052695869,0.001372156,0.375368545,0.009810338,0.054683729,0.006154021,19.38852072,0.182699579,0.138607139,323.8719615,3.357926625,314.7087392,8.194747685,323.6246872,8.458000864,324.1946927,3.054912478,-0.076407718,,19.38852072,0.182699579,0.052695869,0.001372156,0.138607139,,,323.6246872,323.8719615,25
67,Z_Plesovice,130,118,16,25,154675.6199,11576.37665,704.9349447,211.6639167,75.55333103,6.848262106,698.3988167,47.48720181,442712.5737,27069.39235,431400,24676.41845,2.956720335,0.225815747,4.487293743,0.468701695,6.444323855,0.721008275,1.4257489,0.16603272,20.97439275,1.805604546,7.174989732,0.528839219,76.45037896,5.743267994,21.45186221,1.704121151,80.57032877,6.814555209,12.86313654,1.014999433,91.0685936,6.367334394,12.8135788,0.918614641,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.647,4.1680986,217.9681401,14.70574036,12.65396057,0.907839497,3.78547542,0.284164283,119.9540444,5.871441012,965.0874169,52.92411664,0.05368501,0.000878192,0.052797235,0.001757653,0.391271646,0.017740041,0.046326209,0.005443839,18.65915345,0.265379989,0.153706572,337.1048654,5.514441793,319.0783482,10.62231575,335.2979934,15.20222604,336.5419215,4.786470718,-0.53888544,,18.65915345,0.265379989,0.052797235,0.001757653,0.153706572,,,335.2979934,337.1048654,25
68,Z_Plesovice,131,119,16,25,155295.5428,11343.99624,579.434827,175.4537556,82.68754851,7.06903425,575.5128469,39.24448691,444591.4428,27337.28376,431400,24676.41845,1.971006111,0.180467651,2.402062834,0.340551542,3.748437212,0.485993928,0.942029464,0.126475106,15.00000624,1.315359191,5.684154686,0.427281953,60.81888771,4.653289387,16.99729914,1.350461193,64.03865877,5.484145985,10.66870092,0.84562982,73.50689516,5.044270153,11.11832516,0.818878122,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.385,3.393852416,158.6714398,10.73011353,9.223184459,0.673369854,2.247092661,0.180617165,66.69792688,3.229386821,699.7010785,38.31527909,0.053799931,0.000913679,0.052844226,0.002092131,0.390398267,0.018841072,0.037751598,0.004540246,18.62515725,0.273821458,0.307698612,337.8079072,5.736959878,321.100026,12.71252361,334.6603804,16.15109685,337.1404189,4.956536995,-0.940513731,,18.62515725,0.273821458,0.052844226,0.002092131,0.307698612,,,334.6603804,337.8079072,25
69,91500_30 µm - 9,132,120,30,25,127099.7454,7677.461825,11.3507998,9.056596263,4.516695782,0.484691249,112.733204,11.17157136,435637.3207,43207.67504,431400,41183.65321,2.132538237,0.101021763,0.1447671,0.035422162,0.314642825,0.058604029,0.183390468,0.030428249,1.861828878,0.161422446,0.648786567,0.066590612,8.92326843,0.434291271,3.677407457,0.3460827,20.48460243,0.930224637,4.833487788,0.451507889,51.05641301,2.067037379,10.4997464,0.47109015,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.712,1.188349419,40.72012189,3.925821052,3.741055719,0.369711463,2.150403773,0.209885778,20.88321933,2.137616638,63.28837002,6.628846186,0.179217598,0.002124734,0.073687408,0.002389237,1.826737073,0.058589924,0.128905296,0.014662937,5.576212193,0.059876517,0.078769072,1062.695607,12.59890644,1032.017336,33.46208359,1055.108103,33.84105153,1063.327559,11.4178493,-0.719120945,,5.576212193,0.059876517,0.073687408,0.002389237,0.078769072,,,1055.108103,1062.695607,25
70,91500_30 µm - 10,133,121,30,25,127316.5417,7673.471304,<13.389,7.452895139,3.908879199,0.491499834,114.8179203,11.40540964,434864.5183,43100.02538,431400,41183.65321,2.135000411,0.099344445,0.137352411,0.03452635,0.324700039,0.06455196,0.190603435,0.031428868,1.935603817,0.157281055,0.629530681,0.064820388,8.717035611,0.427068448,3.737597223,0.346269551,20.97324281,0.949695361,4.842866007,0.457245668,52.070727,2.091486647,10.4934171,0.472222235,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.573,1.098047976,41.48513008,3.998727702,3.796026005,0.376160737,2.202990514,0.215316876,21.34484006,2.184421618,64.59573301,6.771143327,0.178763359,0.002085945,0.073477576,0.002376697,1.815228708,0.058233203,0.129949086,0.01474532,5.589803218,0.059657882,0.147741349,1060.211954,12.3713478,1026.251654,33.19502092,1050.965782,33.71536819,1060.943719,11.32305598,-0.879778571,,5.589803218,0.059657882,0.073477576,0.002376697,0.147741349,,,1050.965782,1060.211954,25
71,91500_16 µm - 9,134,122,16,25,127055.7886,8726.727483,<39.834,29.33160746,4.050401971,0.88324013,162.9650274,16.98621147,435905.1567,44041.78428,431400,41183.65321,2.178880335,0.190608411,0.302879321,0.101426447,0.523130375,0.143837369,0.272566505,0.065597185,2.688553673,0.338719108,0.968867913,0.117211393,13.2750818,1.09929477,5.360954501,0.546530436,30.07224541,1.97422323,6.756928899,0.719543927,69.72028702,3.823670947,14.69569676,0.86065128,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.040,4.274552747,43.72848566,4.39411365,4.117815582,0.455085591,2.528203596,0.267082485,24.50227015,2.625026177,65.6627575,7.183307318,0.178064493,0.003708469,0.075670307,0.003864383,1.875212005,0.117064225,0.141413651,0.016701769,5.636795989,0.099891649,-0.04178684,1056.388881,22.0009343,1085.466912,55.43336505,1072.373013,66.94523886,1052.783196,18.65674225,1.490538432,,5.636795989,0.099891649,0.075670307,0.003864383,-0.04178684,,,1072.373013,1056.388881,25
72,91500_16 µm - 10,135,123,16,25,124484.7629,8638.183726,<40.771,28.39680658,4.547167279,1.125054534,170.594182,17.67431371,433826.4698,43941.07268,431400,41183.65321,1.753051059,0.142074129,0.238499581,0.092614345,0.568287363,0.149732183,0.283013569,0.065627897,3.184907674,0.382824272,1.062520788,0.127971768,13.99524427,1.033442197,5.554992509,0.574904742,31.5057126,2.02323061,7.214898949,0.734915696,73.76831631,4.055108808,14.9120924,0.854426546,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.398,3.885737984,36.99653673,3.788951781,3.293385165,0.367630364,2.164882999,0.236295516,20.74405917,2.189759607,55.64173877,6.031367071,0.176712155,0.003622395,0.07160036,0.003827373,1.742171579,0.106736018,0.143231299,0.017075817,5.665677234,0.104541149,0.190333967,1048.984606,21.50297517,973.6929686,52.04842997,1024.267956,62.75287943,1047.829957,19.3342019,-2.413103936,,5.665677234,0.104541149,0.07160036,0.003827373,0.190333967,,,1024.267956,1048.984606,25
73,Z_GJ1,136,124,30,25,136085.1852,9745.456957,23.94143876,11.00678375,2.82336383,0.433985075,196.5787571,13.14127885,439552.3132,26546.82015,431400,24689.38289,12.6516134,0.751174903,0.391174193,0.07528455,1.064177556,0.125276776,0.716960405,0.068596876,5.23417407,0.438905031,1.443100295,0.107328145,15.65806457,1.179117115,5.332064799,0.417459339,24.65312478,2.065537516,5.117643405,0.387069437,48.8850789,3.224241518,10.44387225,0.703126142,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.392,1.299814684,96.70152966,6.39618233,6.408908389,0.438453114,0.403342873,0.033104787,7.462172905,0.365145221,256.563947,13.94325601,0.0974069,0.000872925,0.060259368,0.001308006,0.8116209,0.017797151,0.011123934,0.001231174,10.25771286,0.080554568,0.123064209,599.1925596,5.369747415,611.936399,13.2828584,603.363003,13.23049012,599.6667008,4.709226357,0.691199719,,10.25771286,0.080554568,0.060259368,0.001308006,0.123064209,,,603.363003,599.1925596,25
74,Z_GJ1,137,125,30,25,137186.4852,9789.719658,22.02709283,10.75769663,2.988558091,0.502966139,196.7200944,13.18219617,439320.9414,26481.14355,431400,24689.38289,12.681873,0.751315979,0.408279133,0.06675935,1.079074482,0.135321678,0.736881425,0.070122962,5.404642594,0.446474762,1.413659354,0.107080338,15.68088111,1.154004666,5.322701043,0.414780671,24.82189918,2.059340047,5.129476742,0.388319215,48.43600723,3.180784645,10.41678153,0.703781016,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.495,1.000620841,96.75240693,6.352823329,6.38533076,0.432659132,0.405911767,0.033298492,7.37078258,0.356408179,255.3228585,13.82657645,0.097963727,0.000877916,0.060012257,0.001302642,0.812308922,0.017812238,0.011191519,0.001238654,10.20259248,0.080121703,0.242635438,602.4626446,5.399052736,603.0507651,13.0899844,603.7485547,13.23894447,602.7595886,4.73351503,0.212987694,,10.20259248,0.080121703,0.060012257,0.001302642,0.242635438,,,603.7485547,602.4626446,25
75,Z_GJ1,138,126,16,25,152359.9318,11334.12418,<54.417,40.79564331,3.382658,0.855281412,195.3266804,13.31641122,440918.1097,26932.10903,431400,24690.82873,13.35644249,0.854302739,0.35876185,0.116752292,0.973492459,0.222682067,0.675972824,0.102400154,5.558229488,0.61861982,1.49678219,0.144106498,15.99740744,1.415020023,5.133447457,0.469560078,23.74757329,2.161201648,5.065881836,0.427851047,47.25629362,3.401223378,10.08828064,0.730827065,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<4.647,3.227385804,103.9113384,7.121568377,6.766061406,0.511620436,0.452182453,0.052569163,7.643394864,0.408091219,250.5890381,13.81395039,0.098284363,0.001445747,0.059193152,0.001284863,0.80295569,0.030124437,0.011602796,0.001284174,10.19674732,0.126873703,0.114745765,604.3448985,8.889814958,573.2367823,12.44283396,598.4946451,22.45368526,603.0894425,7.503980268,-0.977494689,,10.19674732,0.126873703,0.059193152,0.001284863,0.114745765,,,598.4946451,604.3448985,25
76,Z_GJ1,139,127,16,25,154358.9599,11386.91902,<62.272,31.47278564,3.078516562,1.023514143,197.8695704,13.41887524,444687.8942,27242.14827,431400,24689.38289,13.7198442,0.870368398,0.57824293,0.152818597,1.017738336,0.226968199,0.787805762,0.125412454,5.28039081,0.585320084,1.406581999,0.129500383,15.29643173,1.33657153,5.175497139,0.457198937,23.87702063,2.203250457,4.941755022,0.420122466,46.14185576,3.38028326,9.717626044,0.708897247,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.294,3.402511933,103.3802168,7.039077623,6.75633356,0.502062176,0.456990769,0.055903684,7.577987574,0.401468025,252.0927795,13.81147554,0.097366062,0.001432239,0.059417665,0.001289736,0.796973302,0.029899996,0.011789189,0.001304803,10.29035608,0.128038436,0.259938222,598.9526653,8.810496086,581.4644369,12.62142568,595.1199002,22.32707517,597.8499702,7.438787787,-0.644032417,,10.29035608,0.128038436,0.059417665,0.001289736,0.259938222,,,595.1199002,598.9526653,25
77,G_GSD_1G,140,128,30,25,263233.8596,32595.57114,991.0549324,307.7704823,7380.758265,908.291786,41.9238064,5.122252416,41.80601148,4.98906179,42,5.137884398,41.32139327,4.856360745,44.78795554,5.319182305,47.54087978,5.874171691,40.59191383,5.045950412,49.57879115,6.229773341,47.3671931,5.771015848,51.68017622,6.42448547,49.35553585,6.235727908,40.66735871,5.330856797,49.98179233,6.233114723,50.94818564,6.201552967,51.82176838,6.263852333,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,48.18591346,6.464532551,54.80036013,6.631008043,47.96086506,5.823530828,50.22043045,6.052425894,45.91423226,5.165295839,41.43777384,4.786133209,0.341476218,0.005099101,0.79591725,0.01955869,37.56565857,0.943446828,2.445457005,0.27310629,2.929721108,0.0400978,0.356456159,1893.761514,28.27863341,4913.814665,120.7509676,3708.547212,93.13871329,1893.056033,25.90942281,48.93521895,,2.929721108,0.0400978,0.79591725,0.01955869,0.356456159,,,3708.547212,1893.761514,25
